"rerooted_tree.tip.label","dates","tip_heights"
"KM058648_2013.81944444444",2013.81944444444,0.0043412336739177
"KM058636_2013.81944444444",2013.81944444444,0.0043386736739177
"KM058639_2013.81944444444",2013.81944444444,0.0043389436739177
"KM058665_2013.81944444444",2013.81944444444,0.0056634036739177
"KM058666_2013.81944444444",2013.81944444444,0.0056563236739177
"KP161014_2013.03611111111",2013.03611111111,0.0049968736739177
"KM058645_2013.81944444444",2013.81944444444,0.0049968736739177
"KP160999_2013.03611111111",2013.03611111111,0.0049968736739177
"KM058650_2013.81944444444",2013.81944444444,0.0049968736739177
"KM058637_2013.81944444444",2013.81944444444,0.0049987136739177
"KM058654_2013.81944444444",2013.81944444444,0.0056577336739177
"KP160989_2013.03611111111",2013.03611111111,0.0051006963260823
"KP160990_2013.03611111111",2013.03611111111,0.0051004963260823
"KP160997_2013.03611111111",2013.03611111111,0.0051004963260823
"KP161006_2013.03611111111",2013.03611111111,0.0051004963260823
"KP160998_2013.03611111111",2013.03611111111,0.0051005963260823
"KP161008_2013.03611111111",2013.03611111111,0.0051005763260823
"KP160996_2013.03611111111",2013.03611111111,0.0051005963260823
"KM058652_2013.81944444444",2013.81944444444,0.0051007763260823
"KM058658_2013.81944444444",2013.81944444444,0.0051007763260823
"KP161009_2013.03611111111",2013.03611111111,0.0051007763260823
"KP161001_2013.03611111111",2013.03611111111,0.0051007863260823
"KP160995_2013.03611111111",2013.03611111111,0.0051007863260823
"KM058640_2013.81944444444",2013.81944444444,0.0051007863260823
"KP161011_2013.03611111111",2013.03611111111,0.0051007863260823
"KP161004_2013.03611111111",2013.03611111111,0.0051007963260823
"KM058661_2013.81944444444",2013.81944444444,0.0051007963260823
"KP161000_2013.03611111111",2013.03611111111,0.0051007963260823
"KM058656_2013.81944444444",2013.81944444444,0.0057665763260823
"KM058657_2013.81944444444",2013.81944444444,0.0051007963260823
"KP160993_2013.03611111111",2013.03611111111,0.0051007963260823
"KP161007_2013.03611111111",2013.03611111111,0.0051007963260823
"KM058664_2013.81944444444",2013.81944444444,0.0051007963260823
"KM058641_2013.81944444444",2013.81944444444,0.0051007963260823
"KP161005_2013.03611111111",2013.03611111111,0.0051007963260823
"KM058655_2013.81944444444",2013.81944444444,0.0051008263260823
"KM058659_2013.81944444444",2013.81944444444,0.0051008163260823
"KP161013_2013.03611111111",2013.03611111111,0.0051008063260823
"KM058649_2013.81944444444",2013.81944444444,0.0051008063260823
"KP160991_2013.03611111111",2013.03611111111,0.0051008063260823
"KM058653_2013.81944444444",2013.81944444444,0.0051008063260823
"KP161002_2013.03611111111",2013.03611111111,0.0051004963260823
"KM058643_2013.81944444444",2013.81944444444,0.0051005163260823
"KP160992_2013.03611111111",2013.03611111111,0.0051005163260823
"KP161003_2013.03611111111",2013.03611111111,0.0051005663260823
"KM058638_2013.81944444444",2013.81944444444,0.0051006663260823
"KM058662_2013.81944444444",2013.81944444444,0.0051006263260823
"KP160994_2013.03611111111",2013.03611111111,0.0051006263260823
"KM058646_2013.81944444444",2013.81944444444,0.0051006263260823
"KP161012_2013.03611111111",2013.03611111111,0.0051006263260823
"KM058663_2013.81944444444",2013.81944444444,0.0049994536739177
"KP161010_2013.03611111111",2013.03611111111,0.0056561136739177
"KM058644_2013.81944444444",2013.81944444444,0.0056561136739177
"KP160988_2013.03611111111",2013.03611111111,0.0056561136739177
"KM058660_2013.81944444444",2013.81944444444,0.0049996236739177
"KM058647_2013.81944444444",2013.81944444444,0.0050002136739177
"KM058642_2013.81944444444",2013.81944444444,0.0050002136739177
"KM058651_2013.81944444444",2013.81944444444,0.0050002136739177
