"tr.tip.label","dates","tip_depth"
"KJ156874_2013.65833333333",2013.65833333333,0.00314957495448964
"KJ156934_2013.62222222222",2013.62222222222,0.00315102495448964
"KJ156952_2013.16666666667",2013.16666666667,0.00349134
"KF192507_2013.16666666667",2013.16666666667,0.00224184
"KF917527_2013.85277777778",2013.85277777778,0.00249249
"KF600613_2013.09444444444",2013.09444444444,0.00149399
"KJ556336_2013.84722222222",2013.84722222222,0.00249173
"KJ156944_2013.50277777778",2013.50277777778,0.00224291
"KF958702_2013.84444444444",2013.84444444444,0.00249145
"KJ156949_2013.44722222222",2013.44722222222,0.00249248
"KJ713297_2013.83333333333",2013.83333333333,0
"KR011266_2015.01388888889",2015.01388888889,0.00124891
"KR011263_2015.05555555556",2015.05555555556,0.00124891
"KR011264_2015.05555555556",2015.05555555556,0.00124891
"KR011265_2015.06944444444",2015.06944444444,0.00124891
"KJ713296_2013.83333333333",2013.83333333333,0.00149651
"KJ713295_2013.83333333333",2013.83333333333,0.00124837
"KJ713298_2013.83333333333",2013.83333333333,0.00099474
"KJ156881_2013.44722222222",2013.44722222222,0.00224443
"KF600620_2012.46666666667",2012.46666666667,0.00340094495448964
"KF600630_2013.36666666667",2013.36666666667,0.00265569495448964
"KF600652_2012.83055555556",2012.83055555556,0.00290342495448964
"KP719931_2014.41666666667",2014.41666666667,0.00141173495448964
"KP719932_2014.41666666667",2014.41666666667,0.00141173495448964
"KJ713299_2013.83333333333",2013.83333333333,0.00140900495448964
"KJ650296_2013.99722222222",2013.99722222222,0.00141108495448964
"KJ650295_2013.99722222222",2013.99722222222,0.00141108495448964
"KJ650297_2013.91388888889",2013.91388888889,0.00141108495448964
"KP719928_2014.41666666667",2014.41666666667,0.00116135495448964
"KP719930_2014.41666666667",2014.41666666667,0.00140947495448964
"KP719927_2014.41666666667",2014.41666666667,0.00140947495448964
"KP719929_2014.41666666667",2014.41666666667,0.00116096495448964
"KJ156869_2013.54444444444",2013.54444444444,0.00190953495448964
"KF600645_2013.36111111111",2013.36111111111,0.00190808495448964
"KF600634_2013.41388888889",2013.41388888889,0.00165857495448964
"KF600644_2013.36388888889",2013.36388888889,0.00190808495448964
"KJ156866_2013.33611111111",2013.33611111111,0.00190808495448964
"KF186567_2013.35555555556",2013.35555555556,0.00190808495448964
"KF600632_2013.39444444444",2013.39444444444,0.00190808495448964
"KF600647_2013.37222222222",2013.37222222222,0.00190808495448964
"KF186565_2013.30833333333",2013.30833333333,0.00190808495448964
"KF186564_2013.33333333333",2013.33333333333,0.00190808495448964
"KF186566_2013.30555555556",2013.30555555556,0.00190807495448964
"KF600627_2013.35",2013.35,0.00190808495448964
"KF600651_2013.39444444444",2013.39444444444,0.00190808495448964
"KF600628_2013.425",2013.425,0.00290073495448964
"KJ156910_2013.59444444444",2013.59444444444,0.00314957495448964
"KJ156916_2013.69444444444",2013.69444444444,0.00215622495448964
"KJ156942_2013.54444444444",2013.54444444444,0.00265395495448964
